date,open,high,low,close
1-January-2018,10983.51,10993.35,10887.11,10902.60
2-January-2018,10932.14,10950.30,10856.95,10891.20
3-January-2018,10927.10,10961.44,10884.30,10893.89
4-January-2018,10930.53,10967.02,10893.76,10958.75
5-January-2018,10978.28,11031.15,10977.14,11021.69
8-January-2018,11043.29,11099.22,11043.29,11089.03
9-January-2018,11110.87,11128.93,11075.67,11105.85
10-January-2018,11132.13,11142.34,11066.76,11099.28
11-January-2018,11110.38,11136.40,11087.12,11118.83
12-January-2018,11141.25,11162.38,11063.11,11146.29
15-January-2018,11176.57,11257.71,11176.50,11211.49
16-January-2018,11227.52,11243.74,11163.39,11175.27
17-January-2018,11175.34,11277.37,11139.29,11265.10
18-January-2018,11340.73,11372.73,11252.66,11287.45
19-January-2018,11312.71,11382.72,11271.92,11370.96
22-January-2018,11399.55,11460.01,11365.93,11451.42
23-January-2018,11477.89,11575.23,11476.78,11565.50
24-January-2018,11574.48,11601.73,11534.30,11570.11
25-January-2018,11583.81,11594.59,11479.58,11539.81
29-January-2018,11557.24,11657.20,11554.22,11604.76
30-January-2018,11603.11,11608.78,11517.09,11528.60
31-January-2018,11509.49,11538.79,11460.97,11506.88
1-February-2018,11533.76,11594.85,11350.46,11492.93
2-February-2018,11433.48,11438.44,11203.17,11223.13
5-February-2018,11116.20,11163.93,11048.93,11131.25
6-February-2018,10818.93,11044.54,10725.58,10948.30
7-February-2018,11065.22,11097.38,10895.48,10918.68
8-February-2018,10954.24,11090.78,10927.90,11026.92
9-February-2018,10895.40,10933.58,10847.23,10910.74
12-February-2018,10968.86,11008.40,10939.17,10992.24
14-February-2018,11038.41,11048.56,10914.96,10955.50
15-February-2018,10975.31,11078.19,10968.31,11003.66
16-February-2018,11043.34,11075.14,10889.72,10904.87
19-February-2018,10918.77,10937.49,10752.39,10824.48
20-February-2018,10861.31,10888.22,10801.50,10814.84
21-February-2018,10850.86,10880.61,10810.22,10856.65
22-February-2018,10844.21,10856.47,10805.01,10839.48
23-February-2018,10848.71,10954.76,10848.10,10947.46
26-February-2018,10977.60,11058.75,10977.59,11048.06
27-February-2018,11083.37,11104.69,11007.74,11017.70
28-February-2018,10951.23,10999.13,10931.07,10959.52
1-March-2018,10947.99,10992.04,10909.91,10920.73
5-March-2018,10914.35,10914.41,10785.71,10816.08
6-March-2018,10901.72,10904.87,10668.97,10700.26
7-March-2018,10687.80,10707.23,10600.31,10613.10
8-March-2018,10675.06,10726.48,10603.45,10697.36
9-March-2018,10728.87,10752.06,10666.17,10683.77
12-March-2018,10734.19,10892.08,10734.19,10879.19
13-March-2018,10849.57,10940.36,10840.66,10883.81
14-March-2018,10850.37,10892.91,10805.32,10880.17
15-March-2018,10878.81,10889.64,10813.59,10828.17
16-March-2018,10829.21,10830.25,10647.63,10664.19
19-March-2018,10688.80,10690.61,10538.29,10560.97
20-March-2018,10534.20,10616.06,10513.59,10583.97
21-March-2018,10618.12,10696.93,10595.42,10620.28
22-March-2018,10640.38,10671.73,10565.28,10578.02
23-March-2018,10461.60,10490.21,10413.62,10457.25
26-March-2018,10441.43,10615.71,10423.48,10598.48
27-March-2018,10639.12,10699.15,10611.30,10651.19
28-March-2018,10627.49,10631.61,10575.60,10591.70
2-April-2018,10616.31,10693.46,10600.98,10683.88
